Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Heart_ZT0_1_R1	76.82965138350853	47.0	101.0	101	20.0	39.655190999999995
Heart_ZT0_1_R2	74.70556041565118	47.0	101.0	101	10.0	39.655190999999995
Heart_ZT0_2_R1	75.77685823546706	47.0	101.0	101	20.0	32.275135
Heart_ZT0_2_R2	74.11061893792314	47.0	101.0	101	20.0	32.275135
Heart_ZT12_1_R1	82.1836128396682	46.0	101.0	101	30.0	41.767679
Heart_ZT12_1_R2	79.75852500737615	46.0	101.0	101	20.0	41.767679
Heart_ZT12_2_R1	73.9936812314791	47.0	150.0	150	40.0	15.930786
Heart_ZT12_2_R2	71.65920416944209	47.0	150.0	150	30.0	15.930786
Liver_ZT0_1_R1	79.91105799832002	49.0	101.0	101	20.0	26.335933999999998
Liver_ZT0_1_R2	79.35971097633066	49.0	101.0	101	10.0	26.335933999999998
Liver_ZT0_2_R1	82.29272883392719	49.0	101.0	101	20.0	39.706568
Liver_ZT0_2_R2	80.11793926047211	49.0	101.0	101	10.0	39.706568
Liver_ZT12_1_R1	79.7984174143592	48.0	101.0	101	20.0	18.807831
Liver_ZT12_1_R2	79.19961542075532	48.0	101.0	101	10.0	18.807831
Liver_ZT12_2_R1	78.37231503699945	48.0	101.0	101	20.0	13.787431
Liver_ZT12_2_R2	77.54985913799122	48.0	101.0	101	20.0	13.787431
